plate,IFA_Neospora,diagnosis_neo,neo_status,toxo_status,spratio,diagnosis_toxo,hum.pop.den,sample,kay.code,hy.id,dart.date,sample.origin,notes.appearance,dart.year,dob.date,dob.event.data,disappeared.date,disappeared.event.status,disappeared.event.data,sex,status,mom,dad,number.littermates,litrank,toxo.status,age.mon.dart,dob.yr,age.cat.dart,hum.dist.dob,rank.dart,stan.rank.dart
plate4,400,low,negative,positive,0.81,positive,low,4369,9,hol,10/25/92,blood,NA,1992,NA,talek,3/30/93,dead,lions,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
plate3,800,high,positive,positive,0.8,positive,low,7508,10,bb,12/8/93,blood,NA,1993,7/13/89,talek,12/29/98,dead,humans (spear),f,r,bsh,NA,1,1,1,52.9,1989,adult,low,2,0.9
plate3,200,low,negative,positive,0.65,positive,low,4378,11,dave,8/3/90,blood,NA,1990,9/15/86,talek,11/12/90,dls,dispersed,m,r,27,NA,1,NA,1,46.6,1986,adult,low,NA,NA
plate3,800,high,positive,positive,0.68,positive,low,4308,12,sher,8/7/90,blood,pink,1990,8/1/87,talek,6/27/01,dls,fate unknown,m,r,kb,65,0,1,1,36.2,1987,adult,low,NA,NA
plate5,400,low,negative,positive,0.97,positive,low,7534,18,bud,12/1/90,blood,color red,1990,7/13/89,talek,5/16/93,dls,dispersed,m,r,bsh,NA,1,2,1,16.6,1989,subadult,low,NA,NA
plate3,400,low,negative,positive,0.86,positive,low,7511,19,q,12/5/90,blood,color pink,1990,10/29/88,talek,3/6/93,dls,dispersed,m,r,bsh,NA,0,1,1,25.2,1988,adult,low,NA,NA
plate4,100,low,negative,negative,0.44,doubtful,low,7338,20,rv,12/7/90,blood,edta,1990,5/15/90,talek,4/27/97,dls,fate unknown,f,r,gw,1019,1,1,0,6.8,1990,cub,low,11,0
plate3,1600,high,positive,negative,0.47,doubtful,low,4989,21,sy,12/19/90,blood,frozen on side,1990,NA,talek,2/12/97,dls,fate unknown,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
plate3,800,high,positive,positive,0.82,positive,low,3872,23,gw,12/22/90,blood,NA,1990,1/1/78,talek,12/12/95,dls,inferred dead,f,r,NA,NA,NA,NA,1,155.7,1978,adult,low,11,0
plate3,1600,high,positive,positive,1.09,positive,low,5003,24,mrb,12/22/90,blood,NA,1990,NA,talek,6/1/92,dead,hyenas,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
plate3,800,high,positive,positive,1.08,positive,low,5009,25,coch,12/15/93,blood,NA,1993,2/1/85,talek,9/2/95,dead,lions,f,r,NA,NA,NA,NA,1,106.4,1985,adult,low,5,0.6
plate3,800,high,positive,negative,0.39,negative,low,3873,26,chy,11/29/91,blood,NA,1991,10/14/89,talek,3/5/97,dls,,m,r,coch,NA,1,2,0,25.5,1989,adult,low,NA,NA
plate3,800,high,positive,positive,1.05,positive,low,6879,27,bsh,5/2/94,blood,NA,1994,1/1/83,talek,5/29/99,dead,kidney failure,f,r,kb,NA,NA,NA,1,136,1983,adult,low,1,1
plate3,1600,high,positive,positive,0.54,positive,low,3836,28,quai,12/28/90,blood,NA,1990,NA,talek,6/21/93,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
plate5,200,low,negative,positive,0.76,positive,low,3977,29,sx,12/28/90,blood,p frozen on side of tube,1990,10/14/89,talek,7/7/00,dls,inferred dead,f,r,coch,NA,1,1,1,14.5,1989,subadult,low,NA,NA
plate3,400,low,negative,positive,0.59,positive,low,5745,30,dj,1/19/91,blood,pink,1991,11/15/85,talek,10/27/96,dls,lions,f,r,n2,NA,NA,NA,1,62.1,1985,adult,low,3,0.8
plate3,400,low,negative,positive,0.7,positive,low,4557,33,ap,1/21/91,blood,NA,1991,6/15/88,talek,5/26/95,,,m,r,coch,NA,0,1,1,31.2,1988,adult,low,NA,NA
plate3,1600,high,positive,positive,0.71,positive,low,3770,36,ua,6/26/94,blood,"says ""junk p"" on tube",1994,3/1/87,talek,5/5/01,dls,lions,f,r,79,NA,0,1,1,87.8,1987,adult,low,11,0.130434783
plate3,800,high,positive,positive,0.82,positive,low,5762,38,23s,2/25/91,blood,pink,1991,6/1/83,talek,3/25/95,dls,lions,f,r,27,NA,NA,NA,1,92.8,1983,adult,low,15,-0.4
plate3,1600,high,positive,positive,0.59,positive,low,4368,39,kb,2/28/91,blood,pink,1991,1/1/78,talek,6/23/95,dls,inferred dead,f,r,NA,NA,NA,NA,1,157.9,1978,adult,low,2,0.9
plate3,800,high,positive,positive,0.88,positive,low,3795,40,mw,3/4/91,blood,NA,1991,5/1/87,talek,11/15/91,dead,unknown,f,r,3,NA,0,1,1,46.1,1987,adult,low,4,0.7
plate3,400,low,negative,positive,0.72,positive,low,5236,47,en,7/6/91,blood,tube says 7/7/91,1991,NA,talek,8/25/94,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
plate5,200,low,negative,negative,0.45,doubtful,low,4375,51,pp,7/11/91,blood,NA,1991,6/3/90,talek,10/12/93,dls,dispersed,m,r,dps,NA,0,1,0,13.2,1990,subadult,low,NA,NA
plate4,400,low,negative,positive,0.59,positive,low,7322,52,fn,7/11/91,blood,NA,1991,NA,talek,6/24/99,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
plate4,400,low,negative,positive,0.85,positive,low,7299,55,lg,6/28/94,blood,color red,1994,6/1/82,talek,4/16/99,dls,inferred dead,f,r,11,NA,NA,NA,1,144.9,1982,adult,low,23,-0.913043478
plate4,400,low,negative,positive,0.55,positive,low,4335,61,es,8/22/91,blood,NA,1991,6/1/84,talek,5/7/96,dls,inferred dead,f,r,11,NA,NA,NA,1,86.7,1984,adult,low,17,-0.6
plate4,400,low,negative,positive,0.64,positive,low,7475,66,pb,9/16/91,blood,NA,1991,11/1/87,talek,11/5/95,dls,unknown,m,r,bsh,46,0,1,1,46.5,1987,adult,low,NA,NA
plate5,400,low,negative,negative,0.09,negative,low,5765,71,pt,11/13/91,blood,NA,1991,4/1/91,talek,6/11/96,dls,inferred dead,f,r,coch,1019,1,NA,0,7.4,1991,cub,low,5,0.6
