ID,DartingDate,KayCode,CodeNumberOnSamples,TUCB,A4UCB,T,P,C,E,A,LH,STRESSCA,NIPS,IGF,IGF06,TESTES,Notes,BODY,SHOULDER,WT,PM3,MOTOBABE,RANK,TENURE,AGEMO,SEX,MO,YR,REPCON,REPCAT,SOCCAT
mu,11/27/90,15,,,,0.39,,0,,,0.45,2,,,185,435.2,,84,71,41.4,17.7,,10,,23,M,11,1990,ok,,JNM
1019,11/28/90,16,,1.580000043,1.269999981,1.09,,13.25,,,0.48,2,,,63,891.5352,,98.5,82,60.6,15.7,,,4,,M,11,1990,ok,,LTI
bsh,12/26/90,27,,0.119999997,2.25,0.09,2.193,1.93,0,,0.42,2,13.9,278,128,,,100,,54,15.95,3,1,,97.2,F,12,1990,lact,1,RAF
bud,12/1/90,18,,,,0.175,,6.4,,,0,2,,,218,532.95,,88,77.5,36.8,19.915,,1,,17,M,12,1990,bado,,JNM
chy,12/25/90,26,,,,0,,1.27,,,1.46,2,,370.26,202,509.8555,,76,,26.4,18.1,,5,,14.5,M,12,1990,bado,,JNM
coch,12/25/90,25,,,,0.11,36.249,12.44,0,,0.53,2,14.5,,143,,,97,,56.4,15.4,-3,5,,72,F,12,1990,preg,1,RAF
mrb,12/22/90,24,,2.480000019,2.140000105,3.26,,19.06,,,0.41,3,,,66,838.35,,89.5,,63.4,13,,,3.17,,M,12,1990,ok,,LTI
q,12/5/90,19,,,,0.01,,9.22,,,0.33,2,,,129,572.76,,90,77,42.8,20.067,,1,,26,M,12,1990,ok,,ANM
quai,12/28/90,28,,,,1.18,,1.02,,,0.62,2,,,77,784.86,,101,,47.8,16.8,,,2.33,,M,12,1990,ok,,LTI
rv,12/7/90,20,,,,0.03,0,5.97,0,,,2,2.3,,199,,,61,,13.2,,,10,,6.5,F,12,1990,bado,0,RJF
sx,12/28/90,29,,,,0.05,0,0,0,,2.26,2,4.5,410.59,168,,,83,,29.8,17.975,,5,,14.5,F,12,1990,bado,0,RJF
sy,12/19/90,21,,,,1.433,,1.08,,,0.31,2,,182.07,,746.76,,97.5,,52.4,14.95,,,1.33,,M,12,1990,ok,,LTI
ap,1/21/91,33,,,,0,,0,,,0.73,2,,,132,651.585,,93,76,47.6,16.85,,5,,32,M,1,1991,ok,,ANM
bf,9/13/91,65,,,,0.04,1.118,0,0,,0.36,2,15.1,639.71,241,,,102,79,69.6,17.35,9,12,,101,F,9,1991,lact,1,RAF
dps,1/19/91,31,,,,0,1.055,5.38,0,,0.37,2,15.35,,40,,,95,78,62.8,13.7,8,15,,88,F,1,1991,lact,1,RAF
ot,1/23/91,34,,,,0.1,2.429,0,0,,0.55,2,15.9,,119,,,95,72.5,54.4,14.4,10,7,,78,F,1,1991,lact,1,RAF
rg,1/20/91,32,,,,0,0,0,,,0.63,2,,,118,383.465,,85,67.5,29.4,19.15,,2,,17,M,1,1991,bado,,JNM
23s,2/25/91,38,,,,0,0.733,2.17,0,,0.33,2,16.1,,120,,,89.6,78,66,12.7,3,13,,94,F,2,1991,lact,1,RAF
gyp,2/18/91,37,,,,0.2,,0,,,2.1,2,,298.09,231,430.65,,91.5,78,45,19.61,,14,,25,M,2,1991,ok,,ANM
kb,2/28/91,39,,,,0.23,3.788,0,0,,0.51,2,16,,98,,,95,73.5,55.4,12.55,2,2,,160,F,2,1991,lact,1,RAF
mu,2/8/91,15,,,,1.47,,0,,,0.33,2,,,113,455,,111.5,68.5,38.2,17.175,,10,,27,M,2,1991,ok,,ANM
ua,2/24/91,36,,,,0.01,1.892,0,0,,2.01,2,15.8,319.24,108,,,99.5,76,57,18.75,-10,8,,49,F,2,1991,bado,0,RAF
mk,3/12/91,41,,,,0.19,0.33,3.45,,,0.42,2,,,159,274.2625,,71.5,65.5,24.8,,,11,,11,M,3,1991,bado,,JNM
mw,3/4/91,40,,,,0.01,0.856,0,0,,0.21,2,13.8,,115,,,96.5,78.5,54.4,16.21,6,6,,47,F,3,1991,lact,1,RAF
q,3/5/91,19,,,,0.28,,1.27,,,0.49,2,,,93,385,,115,77,49.4,19.45,,1,,29,M,3,1991,ok,,ANM
bg,7/10/91,50,,,,0.07,1.192,9.95,,,0.29,2,,,476,153.75,,68,59.5,17.8,,,4,,9,M,7,1991,bado,,JNM
