sorter,plate,IFA_Neospora,diagnosis_neo,neo_status,toxo_status,spratio,diagnosis_toxo,hum.pop.den,sample,antiquity,kay.code,hy.id,avg_min_dist,dart.date,sample.origin,notes.appearance,dart.year,dob.date,dob.event.data,disappeared.date,disappeared.event.status,disappeared.event.data,sex,status,mom,dad,number.littermates,litrank,toxo.status,age.mon.dart,dob.yr,age.cat.dart,hum.dist.dob,rank.dart,stan.rank.dart
159,plate5,400,low,negative,negative,0.01,negative,low,5808,1990s,74,who,56.92307692,11/27/91,blood,NA,1991,7/7/91,talek,12/21/06,,,f,r,bsh,zip,0,1,0,4.7,1991,cub,low,1,1
150,plate5,100,low,negative,negative,0.02,negative,low,4303,1990s,263,tsa,200,7/4/99,blood,NA,1999,12/10/98,talek,8/2/01,dls,inferred dead,m,r,par,NA,0,NA,0,6.8,1998,cub,low,26,-0.666666667
134,plate4,400,low,negative,negative,0.03,negative,low,5662,1990s,170,rinc,30,6/8/96,blood,frozen on side,1996,8/1/95,talek,5/9/97,dls,inferred dead,m,r,jab,fn,1,2,0,10.2,1995,cub,low,6,0.655172414
139,plate4,100,low,negative,negative,0.05,negative,low,5019,1990s,207,nod,35,6/11/97,blood,NA,1997,10/13/96,talek,2/15/01,dls,dispersed,m,r,ua,mike,1,2,0,7.9,1996,cub,low,19,-0.285714286
160,plate5,NA,,,negative,0.05,negative,low,5799,1990s,76,hob,62.5,6/14/92,blood,NA,1992,7/20/91,talek,5/6/99,dls,inferred dead,f,r,es,int,1,2,0,10.8,1991,cub,low,16,-0.666666667
123,plate4,400,low,negative,negative,0.06,negative,low,5426,1990s,127,scby,100,9/23/94,blood,NA,1994,1/27/94,talek,11/5/94,dead,unknown,f,r,sd,rcn,0,NA,0,7.9,1994,cub,low,14,-0.130434783
155,plate5,100,low,negative,negative,0.07,negative,low,4652,1990s,275,cam,23.4,9/21/99,blood,NA,1999,11/21/98,talek,10/23/06,dls,inferred dead,f,r,jj,zig,1,1,0,10,1998,cub,low,12,0.266666667
153,plate5,800,high,positive,negative,0.07,negative,low,4671,1990s,271,ind,1,10/4/99,blood,edta,1999,12/2/98,talek,8/18/02,dls,dispersed,m,r,bail,chas,1,1,0,10.1,1998,cub,low,22,-0.4
105,plate5,200,low,negative,negative,0.08,negative,low,5658,1990s,173,pf,100,6/21/96,blood,NA,1996,5/20/95,talek,7/28/96,dead,humans,m,r,bail,NA,0,NA,0,13.1,1995,subadult,low,NA,NA
148,plate4,200,low,negative,negative,0.08,negative,low,5330,1990s,259,sch,6,6/24/99,blood,NA,1999,11/20/98,talek,4/4/00,dead,lions,m,r,ua,mig,1,2,0,7.1,1998,cub,low,20,-0.266666667
158,plate5,400,low,negative,negative,0.09,negative,low,5765,1990s,71,pt,49.28571429,11/13/91,blood,NA,1991,4/1/91,talek,6/11/96,dls,inferred dead,f,r,coch,1019,1,NA,0,7.4,1991,cub,low,5,0.6
141,plate4,800,high,positive,negative,0.09,negative,low,7584,1990s,211,linc,75,6/30/97,blood,NA,1997,10/23/96,talek,1/5/01,dls,dispersed,m,r,nav,mike,1,1,0,8.2,1996,cub,low,15,0
127,plate4,0,low,negative,negative,0.1,negative,low,3982,1990s,139,wr,68.57142857,2/12/95,blood,p frozen at top but not much,1995,6/22/94,talek,2/25/07,dls,inferred dead,f,r,bb,rcn,1,2,0,7.7,1994,cub,low,6,0.655172414
147,plate4,50,low,negative,negative,0.1,negative,low,5344,1990s,258,her,15,8/11/99,blood,NA,1999,11/20/98,talek,1/10/03,dls,,m,r,mrph,NA,1,2,0,8.7,1998,cub,low,2,0.933333333
154,plate5,400,low,negative,negative,0.1,negative,low,4660,1990s,272,coo,37.5,9/12/99,blood,NA,1999,12/3/98,talek,12/7/05,dead,croc?,f,r,kip,tz,1,1,0,9.3,1998,cub,low,7,0.6
130,plate4,400,low,negative,negative,0.1,negative,low,3755,1990s,146,dd,5.666666667,4/13/95,blood,NA,1995,7/23/94,talek,10/17/00,dls,dispersed,m,r,dj,bag,1,2,0,8.7,1994,cub,low,8,0.517241379
124,plate4,400,low,negative,negative,0.1,negative,low,4373,1990s,128,irq,100,9/25/94,blood,edta,1994,1/10/94,talek,10/13/96,dls,dispersed,m,r,coch,NA,1,NA,0,8.5,1994,cub,low,7,0.47826087
125,plate4,0,low,negative,negative,0.12,negative,low,13399,1990s,137,wm,100,2/9/95,blood,cream; normal,1995,7/7/94,talek,3/13/95,dead,disease,f,r,jab,NA,1,1,0,7.1,1994,cub,low,5,0.724137931
118,plate4,50,low,negative,negative,0.12,negative,low,7392,1990s,100,nav,50.5,7/21/93,blood,NA,1993,11/7/92,talek,7/20/16,dls,inferred dead,f,r,coch,en,1,2,0,8.4,1992,cub,low,5,0.6
163,plate5,400,low,negative,negative,0.13,negative,low,4712,1990s,89,gol,51.5,5/26/92,blood,no hyena id on vial,1992,7/20/91,talek,3/14/01,dead,humans (speared),f,r,es,fn,1,1,0,10.2,1991,cub,low,16,-0.666666667
132,plate4,200,low,negative,negative,0.14,negative,low,5535,1990s,161,kon,75,11/2/95,blood,NA,1995,1/25/95,talek,6/16/00,dls,dispersed,m,r,ua,NA,1,2,0,9.2,1995,cub,low,17,-0.103448276
137,plate4,400,low,negative,negative,0.15,negative,low,5038,1990s,205,kang,144,6/9/97,blood,NA,1997,10/7/96,talek,2/15/98,dls,inferred dead,m,r,lg,NA,1,1,0,8,1996,cub,low,26,-0.785714286
161,plate5,100,low,negative,negative,0.16,negative,low,6136,1990s,82,ger,37.23076923,7/12/93,blood,frozen on side,1993,11/7/92,talek,6/2/05,dead,humans,f,r,coch,en,1,1,0,8.1,1992,cub,low,5,0.6
152,plate5,400,low,negative,negative,0.16,negative,low,4607,1990s,268,gdz,20,7/21/99,blood,edta,1999,12/3/98,talek,9/29/00,dls,inferred dead,m,r,kip,tz,1,2,0,7.6,1998,cub,low,7,0.6
151,plate5,800,high,positive,negative,0.16,negative,low,4581,1990s,267,jut,47.5,7/11/99,blood,frozen on side,1999,11/30/98,talek,11/24/03,dls,inferred dead,f,r,ger,pos,1,1,0,7.3,1998,cub,low,14,0.133333333
143,plate4,800,high,positive,negative,0.17,negative,low,5470,1990s,213,mali,71.1,7/4/97,blood,NA,1997,10/13/96,talek,1/13/06,dls,inferred dead,f,r,jab,NA,1,2,0,8.7,1996,cub,low,8,0.5
18,plate2,400,low,negative,negative,0.22,negative,hi,4786,2000s,627,twst,57,5/7/12,blood,NA,2012,3/3/11,talek,3/30/18,dls,double check: alive but with disappeared date,f,r,adon,NA,0,NA,0,14.2,2011,subadult,NA,NA,NA
129,plate4,200,low,negative,negative,0.27,negative,low,12144,1990s,145,mp,57.38461538,4/10/95,blood,slightly pink,1995,7/23/94,talek,7/13/13,dls,inferred dead,f,r,dj,bag,1,1,0,8.6,1994,cub,low,8,0.517241379
33,plate2,200,low,negative,negative,0.32,negative,hi,5179,2000s,842,hrpy,12.33333333,5/24/12,blood,NA,2012,10/29/09,talek,2/27/18,dls,,f,r,pan,NA,NA,NA,0,30.8,2009,adult,NA,9,0.68
145,plate4,400,low,negative,negative,0.34,negative,low,3811,1990s,231,puc,75,3/14/98,blood,NA,1998,6/1/97,talek,12/23/06,dls,inferred dead,f,r,ger,fn,1,1,0,9.4,1997,cub,low,15,0
166,plate5,800,high,positive,negative,0.36,negative,low,5392,1990s,248,whh,27.5,2/22/99,blood,edta,1999,2/28/98,talek,10/22/04,dead,,f,r,nav,zig,0,NA,0,11.8,1998,cub,low,17,-0.066666667
144,plate4,800,high,positive,negative,0.38,negative,low,4358,1990s,216,dna,100,11/7/97,blood,NA,1997,12/23/96,talek,12/9/99,dls,dispersed,m,r,gil,NA,1,1,0,10.5,1996,cub,low,4,0.785714286
65,plate3,800,high,positive,negative,0.38,negative,low,5677,1990s,175,rs,60,6/4/97,blood,edta. frozen in cap,1997,NA,talek,12/15/99,dead,,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
31,plate2,800,high,positive,negative,0.39,negative,hi,3779,2000s,690,bnt,300,5/7/13,blood,NA,2013,9/25/11,talek,NA,dls,double check: alive but with disappeared date,f,r,mono,NA,0,NA,0,19.4,2011,subadult,NA,NA,NA
80,plate3,800,high,positive,negative,0.39,negative,low,3873,1990s,26,chy,21.5,11/29/91,blood,NA,1991,10/14/89,talek,3/5/97,dls,,m,r,coch,NA,1,2,0,25.5,1989,adult,low,NA,NA
40,plate2,800,high,positive,negative,0.39,doubtful,low,12107,2000s,1022,wafl,,7/2/12,blood,"cream; normal, tube says ""hep. plasma 1 ml""",2012,8/1/07,serena.n,NA,,,f,r,NA,NA,NA,NA,0,59,2007,adult,low,1,1
142,plate4,400,low,negative,negative,0.4,negative,low,7608,1990s,212,wash,100,6/30/97,blood,NA,1997,10/23/96,talek,8/27/97,dead,humans,m,r,nav,mike,1,2,0,8.2,1996,cub,low,15,0
113,plate5,400,low,negative,negative,0.41,doubtful,low,5317,1990s,253,ali,34.5,4/26/99,blood,NA,1999,8/4/97,talek,2/6/18,dls,double check: alive but with disappeared date,f,r,bb,mike,1,1,0,20.7,1997,subadult,low,NA,NA
7,plate2,100,low,negative,negative,0.43,doubtful,hi,7232,2000s,727,hex,117.5,6/9/12,blood,NA,2012,3/4/03,talek,4/13/16,dls,inferred dead,f,r,bail,NA,NA,NA,0,111.2,2003,adult,NA,45,-0.76
132.1,NA,800,high,positive,negative,0.43,doubtful,low,5532,1990s,162,lop,,2/26/96,blood,NA,1996,2/15/95,talek,3/1/97,dead,,f,r,who,NA,0,NA,0,12.4,1995,subadult,low,NA,NA
12,plate2,800,high,positive,negative,0.43,doubtful,hi,3752,2000s,807,mgta,15.25,4/11/12,blood,NA,2012,1/10/09,talek,5/30/19,dls,,f,r,mos,NA,1,1,0,39,2009,adult,NA,13,0.52
136,plate4,100,low,negative,negative,0.44,doubtful,low,7338,1990s,20,rv,22.91666667,12/7/90,blood,edta,1990,5/15/90,talek,4/27/97,dls,fate unknown,f,r,gw,1019,1,1,0,6.8,1990,cub,low,11,0
112,plate5,200,low,negative,negative,0.44,doubtful,low,4328,1990s,251,cuj,20,5/11/99,blood,frozen on side,1999,7/9/97,talek,6/3/01,dls,dispersed,m,r,kip,NA,1,2,0,22,1997,subadult,low,NA,NA
45,plate2,200,low,negative,negative,0.45,doubtful,low,3613,2000s,1096,hucn,,7/2/14,blood,white,2014,9/12/11,serena.n,9/24/14,dls,double check: alive but with disappeared date,m,r,rbc,NA,1,1,0,33.6,2011,adult,low,NA,NA
117,plate5,200,low,negative,negative,0.45,doubtful,low,4375,1990s,51,pp,22.5,7/11/91,blood,NA,1991,6/3/90,talek,10/12/93,dls,dispersed,m,r,dps,NA,0,1,0,13.2,1990,subadult,low,NA,NA
115,plate5,200,low,negative,negative,0.45,doubtful,low,4682,1990s,278,sco,20,10/25/99,blood,edta,1999,12/15/97,talek,7/24/02,dls,dispersed,m,r,hob,mike,1,NA,0,22.3,1997,subadult,low,NA,NA
95,plate4,800,high,positive,negative,0.45,doubtful,low,4116,1990s,79,zip,75.33333333,4/11/92,blood,"sample reads ""5/11/92"" but excel has ""4/11/92"" as the date",1992,NA,talek,4/21/94,dls,fate unknown,m,i,NA,NA,NA,NA,0,NA,NA,adult,NA,NA,NA
37,plate2,200,low,negative,negative,0.46,doubtful,low,4039,2000s,1005,zoey,,6/22/12,blood,p frozen on side,2012,NA,serena.n,3/26/13,dls,,f,r,digs,NA,1,NA,0,NA,NA,adult,low,5,0.6
121,plate4,400,low,negative,negative,0.46,doubtful,low,7142,1990s,110,ud,20,5/25/94,blood,"min1 vial says ""9/29/99""",1994,10/4/93,talek,1/7/98,dls,,m,r,23s,NA,0,NA,0,7.7,1993,cub,low,17,-0.391304348
51,plate3,1600,high,positive,negative,0.46,doubtful,low,6933,2000s,1071,taj,,9/6/12,blood,NA,2012,NA,serena.s,1/8/18,dls,fate unknown,f,r,NA,NA,NA,NA,0,NA,NA,adult,low,8,0.125
